time,congestion_from_road,congestion_to_road
2021-10-19 18:15:00,10404.0,10405.0
2021-10-19 18:20:00,10404.0,10405.0
2021-10-19 19:40:00,10404.0,10405.0
2021-10-19 19:40:00,10404.0,1839.0
2021-10-19 19:45:00,10404.0,10405.0
2021-10-19 16:10:00,6954.0,6955.0
2021-10-19 17:20:00,6954.0,6955.0
2021-10-19 18:05:00,6954.0,1812.0
2021-10-19 18:30:00,6954.0,6955.0
2021-10-19 18:35:00,6954.0,6955.0
2021-10-19 19:00:00,6954.0,6955.0
2021-10-19 19:05:00,6954.0,6955.0
2021-10-19 19:10:00,6954.0,6955.0
2021-10-19 19:25:00,6954.0,6955.0
2021-10-19 16:00:00,10430.0,30092.0
2021-10-19 17:20:00,10430.0,30140.0
2021-10-19 17:50:00,10431.0,1890.0
